Religious_tradition,Less_than_30000,30000-49999,50000-99999,100000_or_more,Sample Size
Buddhist,0.36,0.18,0.32,0.13,233
Catholic,0.36,0.19,0.26,0.19,6137
Evangelical Protestant,0.35,0.22,0.28,0.14,7462
Hindu,0.17,0.13,0.34,0.36,172
Historically Black Protestant,0.53,0.22,0.17,0.08,1704
Jehovah's Witness,0.48,0.25,0.22,0.04,208
Jewish,0.16,0.15,0.24,0.44,708
Mainline Protestant,0.29,0.2,0.28,0.23,5208
Mormon,0.27,0.2,0.33,0.2,594
Muslim,0.34,0.17,0.29,0.2,205
Orthodox Christian,0.18,0.17,0.36,0.29,155
"Unaffiliated (religious ""nones"")",0.33,0.2,0.26,0.21,6790
